"Designation","Date","Launch Vehicle","CSM","LM","Crew","Summary"
"AS-201","Feb. 26, 1966","AS-201","CSM-009","None","None","First flight of Saturn IB and Block I CSM; suborbital to Atlantic Ocean; qualified heat shield to orbital reentry speed"
"AS-203","July 5, 1966","AS-203","None","None","None","No spacecraft; observations of liquid hydrogen fuel behavior in orbit, to support design of S-IVB restart capability"
"AS-202","Aug. 25, 1966","AS-202","CSM-011","None","None","Suborbital flight of CSM to Pacific Ocean"
"Apollo 1","Feb 21, 1967","AS-204","CSM-012","None","Gus Grissom Edward H. White Roger B. Chaffee","Not flown; all crew members perished in fire on launch pad on January 27, 1967"
"Apollo 4","Nov. 9, 1967","AS-501","CSM-017","None","None","First test flight of Saturn V, placed a CSM in a high Earth orbit; demonstrated S-IVB restart; qualified CM heat shield to lunar reentry speed"
"Apollo 5","Jan. 22–23, 1968","AS-204","None","LM-1","None","Earth orbital flight test of LM, launched on Saturn IB; demonstrated ascent and descent propulsion; man-rated the LM"
"Apollo 6","April 4, 1968","AS-502","CM-020 SM-014","None","None","Unmanned, attempted demonstration of trans-lunar injection, and direct-return abort using SM engine; three engine failures, including failure of S-IVB restart. Flight controllers used SM engine to repeat Apollo 4's flight profile. Man-rated the Saturn V."
"Apollo 7","Oct. 11–22, 1968","AS-205","CSM-101","None","Wally Schirra Walt Cunningham Donn Eisele","First manned Earth orbital demonstration of Block II CSM, launched on Saturn IB. First live television publicly broadcast from a manned mission"
"Apollo 8","Dec. 21–27, 1968","AS-503","CSM-103","None","Frank Borman James Lovell William Anders","First manned flight to Moon; CSM made 10 lunar orbits in 20 hours."
"Apollo 9","Mar. 3–13, 1969","AS-504","CSM-104 Gumdrop","LM-3 Spider","James McDivitt David Scott Russell Schweickart","First manned flight of CSM and LM in Earth orbit; demonstrated Portable Life Support System to be used on the lunar surface"
"Apollo 10","May 18–26, 1969","AS-505","CSM-106 Charlie Brown","LM-4 Snoopy","Thomas Stafford John Young Eugene Cernan","Dress rehearsal for first lunar landing; flew LM down to 50,000 feet (15 km) from lunar surface"
"Apollo 11","July 16–24, 1969","AS-506","CSM-107 Columbia","LM-5 Eagle","Neil Armstrong Michael Collins Buzz Aldrin","First manned landing, in Sea of Tranquility. Surface EVA time: 2:31 hr. Samples returned: 47.51 pounds (21.55 kg)"
"Apollo 12","Nov. 14–24, 1969","AS-507","CSM-108 Yankee Clipper","LM-6 Intrepid","C. ""Pete"" Conrad Richard Gordon Alan Bean","Second landing, in Ocean of Storms near Surveyor 3 . Surface EVA time: 7:45 hr. Samples returned: 75.62 pounds (34.30 kg)"
"Apollo 13","April 11–17, 1970","AS-508","CSM-109 Odyssey","LM-7 Aquarius","James Lovell Jack Swigert Fred Haise","Third landing attempt aborted near the Moon, due to SM failure. Crew used LM as ""life boat"" to return to Earth."
"Apollo 14","Jan. 31–Feb. 9, 1971","AS-509","CSM-110 Kitty Hawk","LM-8 Antares","Alan Shepard Stuart Roosa Edgar Mitchell","Third landing, in Fra Mauro. Surface EVA time: 9:21 hr. Samples returned: 94.35 pounds (42.80 kg)."
"Apollo 15","July 26–Aug. 7, 1971","AS-510","CSM-112 Endeavour","LM-10 Falcon","David Scott Alfred Worden James Irwin","First Extended LM and rover, landed in Hadley-Apennine. Surface EVA time:18:33 hr. Samples returned: 169.10 pounds (76.70 kg)."
"Apollo 16","April 16–27, 1972","AS-511","CSM-113 Casper","LM-11 Orion","John Young T. Kenneth Mattingly Charles Duke","Landed in Plain of Descartes. Surface EVA time: 20:14 hr. Samples returned: 207.89 pounds (94.30 kg)."
"Apollo 17","Dec. 7–19, 1972","AS-512","CSM-114 America","LM-12 Challenger","Eugene Cernan Ronald Evans Harrison Schmitt","Only Saturn V night launch. Landed in Taurus-Littrow. First geologist on the Moon. Final manned Moon landing. Surface EVA time: 22:02 hr. Samples returned: 243.40 pounds (110.40 kg)."
